x1,x2,y
-3.117401715,2.448031273,1
2.279706735,7.558963559,1
-0.1035781272,5.629858841,1
0.4942573102,5.729140256,1
4.214876997,9.654560541,1
-0.412005411,5.200299882,1
-1.816118096,3.326167204,1
-1.320731064,3.87761938,1
-4.483872068,0.8710886285,1
-0.1401178605,5.343971029,1
1.287034119,6.293462137,1
-4.586590016,1.198520759,1
-3.344274939,1.674225326,1
3.424837966,9.071701206,1
0.4839450761,5.668034176,1
-4.04460167,1.831909359,1
-2.206602393,3.279292308,1
1.505329148,6.810805618,1
0.8320819987,6.544461888,1
0.09859724127,5.404358019,1
-1.587229662,4.012466942,1
4.997461161,10.15580504,1
3.141854971,8.898408079,1
-0.2089260151,5.394479025,1
4.174362586,9.487943695,1
3.401156904,-0.7294370308,0
-4.788974984,-8.050230452,0
-1.590899547,-5.435323001,0
3.595857191,1.548153293,0
0.03268166783,-4.042198567,0
-3.422212058,-7.704933976,0
4.066907693,0.2725122242,0
-4.932546866,-7.046397826,0
2.152331626,-1.721251309,0
3.550348332,1.456421231,0
1.845509262,-1.593206084,0
-2.789887147,-7.593353109,0
-2.859905023,-7.80264645,0
3.770793786,0.1228869465,0
2.323404193,-2.20752384,0
-1.915481326,-4.615833327,0
-1.647901977,-4.017028536,0
2.071085074,-1.616890598,0
-3.708029313,-5.928857089,0
1.258548213,-3.220519282,0
-3.209347461,-5.917928815,0
1.878972362,-1.838741136,0
-1.961632949,-5.337655575,0
-0.7589155297,-5.33332165,0
-2.779288863,-5.657950122,0
